,Unnamed: 0,business_code_x,cust_number_x,total_open_amount_x,cust_payment_terms_x,document_create_date_day,document_create_date_month,document_create_date_year,document_create_date_quarter,delay,Payment date prediction,Aging_Bucket,business_code_y,cust_number_y,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,area_business,total_open_amount_y,baseline_create_date,cust_payment_terms_y,invoice_id,isOpen
40,228,2,1,7419.73,10524.0,9,4,2020,2,2,2020-04-26,1-15days,U001,200769623,WAL-MAR us,,2020.0,1930768521.0,2020-04-09,2020-04-09,2020-04-09,2020-04-24,USD,RV,1.0,,7419.73,2020-04-09,NAH4,1930768521.0,1
41,233,2,2,22457.54,15506.0,30,4,2020,2,0,2020-05-17,0 days,U001,0200739534,OK corporation,,2020.0,1930844810.0,2020-05-02,2020-04-30,2020-05-02,2020-05-17,USD,RV,1.0,,22457.54,2020-05-02,NAA8,1930844810.0,1
42,242,2,3,19073.41,950.0,7,5,2020,2,-3,2020-05-20,0 days,U001,200794332,COST in,,2020.0,1930877725.0,2020-05-08,2020-05-07,2020-05-08,2020-05-23,USD,RV,1.0,,19073.41,2020-05-08,NAAX,1930877725.0,1
43,248,2,26,989.98,15506.0,2,3,2020,1,8,2020-03-25,1-15days,U001,0200781803,JRD llc,,2020.0,1930592619.0,2020-03-02,2020-03-02,2020-03-02,2020-03-17,USD,RV,1.0,,989.98,2020-03-02,NAA8,1930592619.0,1
44,254,2,50,29493.11,15506.0,27,3,2020,1,-1,2020-04-09,0 days,U001,0200793568,SUPE co,,2020.0,1930708132.0,2020-03-26,2020-03-27,2020-03-26,2020-04-10,USD,RV,1.0,,29493.11,2020-03-26,NAA8,1930708132.0,1
45,261,2,1,49146.27,15506.0,21,3,2020,1,2,2020-04-10,1-15days,U001,0200799367,MCL corporation,,2020.0,1930684267.0,2020-03-24,2020-03-21,2020-03-24,2020-04-08,USD,RV,1.0,,49146.27,2020-03-24,NAA8,1930684267.0,1
46,269,2,1,49718.11,10524.0,23,3,2020,1,0,2020-04-08,0 days,U001,0200769623,WAL-MAR corp,,2020.0,1930688809.0,2020-03-24,2020-03-23,2020-03-24,2020-04-08,USD,RV,1.0,,49718.11,2020-03-24,NAH4,1930688809.0,1
47,271,2,2,37674.97,15506.0,6,3,2020,1,0,2020-03-21,0 days,U001,0200706844,WINC corp,,2020.0,1930617521.0,2020-03-06,2020-03-06,2020-03-06,2020-03-21,USD,RV,1.0,,37674.97,2020-03-06,NAA8,1930617521.0,1
48,279,0,1,59966.335069672125,2968.0,14,4,2020,2,6,2020-05-01,1-15days,CA02,0140104429,COSTCO co,,2020.0,2960627890.0,2020-04-14,2020-04-14,2020-04-14,2020-04-25,CAD,RV,1.0,,74160.09,2020-04-15,CA10,2960627890.0,1
49,283,2,1,25029.0,15506.0,29,2,2020,1,1,2020-03-18,1-15days,U001,0200915438,GROC corporation,,2020.0,1930584129.0,2020-03-02,2020-02-29,2020-03-02,2020-03-17,USD,RV,1.0,,25029.0,2020-03-02,NAA8,1930584129.0,1
50,300,2,1,23.76,15506.0,22,4,2020,2,9,2020-05-16,1-15days,U001,0200703398,NEX ,,2020.0,1930812648.0,2020-04-22,2020-04-22,2020-04-22,2020-05-07,USD,RV,1.0,,23.76,2020-04-22,NAA8,1930812648.0,1
51,302,2,2,29537.47,15506.0,15,4,2020,2,0,2020-04-29,0 days,U001,0200739534,OK corp,,2020.0,1930788520.0,2020-04-14,2020-04-15,2020-04-14,2020-04-29,USD,RV,1.0,,29537.47,2020-04-14,NAA8,1930788520.0,1
52,310,2,1,15328.73,10524.0,15,3,2020,1,0,2020-04-01,0 days,U001,0200769623,WAL-MAR corporation,,2020.0,1930654158.0,2020-03-17,2020-03-15,2020-03-17,2020-04-01,USD,RV,1.0,,15328.73,2020-03-17,NAH4,1930654158.0,1
53,312,2,1,28522.65,10524.0,27,3,2020,1,0,2020-04-11,0 days,U001,0200769623,WAL-MAR foundation,,2020.0,1930713553.0,2020-03-27,2020-03-27,2020-03-27,2020-04-11,USD,RV,1.0,,28522.65,2020-03-27,NAH4,1930713553.0,1
54,314,2,10,15831.29,207.0,23,4,2020,2,1,2020-04-24,1-15days,U001,0200803720,DEC llc,,2020.0,1930818041.0,2020-04-23,2020-04-23,2020-04-23,2020-04-23,USD,RV,1.0,,15831.29,2020-04-16,NAM1,1930818041.0,1
55,324,2,1,5559.24,10524.0,9,5,2020,2,1,2020-05-26,1-15days,U001,200769623,WAL-MAR foundation,,2020.0,1930883109.0,2020-05-10,2020-05-09,2020-05-10,2020-05-25,USD,RV,1.0,,5559.24,2020-05-10,NAH4,1930883109.0,1
56,325,2,1,7755.69,950.0,15,3,2020,1,3,2020-04-03,1-15days,U001,0200794332,COST foundation,,2020.0,1930654056.0,2020-03-16,2020-03-15,2020-03-16,2020-03-31,USD,RV,1.0,,7755.69,2020-03-16,NAAX,1930654056.0,1
57,329,2,5,16075.3,15506.0,31,3,2020,1,0,2020-04-16,0 days,U001,0200148860,DOLLA associates,,2020.0,1930723148.0,2020-04-01,2020-03-31,2020-04-01,2020-04-16,USD,RV,1.0,,16075.3,2020-04-01,NAA8,1930723148.0,1
58,330,2,12,8453.12,15506.0,6,4,2020,2,3,2020-04-25,1-15days,U001,0200744019,TARG trust,,2020.0,1930752624.0,2020-04-07,2020-04-06,2020-04-07,2020-04-22,USD,RV,1.0,,8453.12,2020-04-07,NAA8,1930752624.0,1
59,333,2,1,9609.09,10524.0,25,3,2020,1,0,2020-04-09,0 days,U001,0200769623,WAL-MAR co,,2020.0,1930693580.0,2020-03-25,2020-03-25,2020-03-25,2020-04-09,USD,RV,1.0,,9609.09,2020-03-25,NAH4,1930693580.0,1
60,334,2,1,113595.24,15506.0,3,5,2020,2,-1,2020-05-17,0 days,U001,0100031704,DELHAIZE corp,,2020.0,1930854433.0,2020-05-03,2020-05-03,2020-05-03,2020-05-18,USD,RV,1.0,,113595.24,2020-05-03,NAA8,1930854433.0,1
61,338,2,1,2939.11,10524.0,14,4,2020,2,0,2020-04-28,0 days,U001,0200769623,WAL-MAR in,,2020.0,1930783410.0,2020-04-13,2020-04-14,2020-04-13,2020-04-28,USD,RV,1.0,,2939.11,2020-04-13,NAH4,1930783410.0,1
62,339,2,1,2173.16,10524.0,9,5,2020,2,2,2020-05-28,1-15days,U001,200769623,WAL-MAR ,,2020.0,1930883558.0,2020-05-11,2020-05-09,2020-05-11,2020-05-26,USD,RV,1.0,,2173.16,2020-05-11,NAH4,1930883558.0,1
63,340,2,1,106465.73,15506.0,27,4,2020,2,0,2020-05-12,0 days,U001,0200526831,PERISH corp,,2020.0,1930830481.0,2020-04-27,2020-04-27,2020-04-27,2020-05-12,USD,RV,1.0,,106465.73,2020-04-27,NAA8,1930830481.0,1
64,366,2,1,13793.45,15506.0,23,4,2020,2,1,2020-05-09,1-15days,U001,0200784489,GE systems,,2020.0,1930819442.0,2020-04-23,2020-04-23,2020-04-23,2020-05-08,USD,RV,1.0,,13793.45,2020-04-23,NAA8,1930819442.0,1
65,371,2,3,8448.89,950.0,19,3,2020,1,-1,2020-04-03,0 days,U001,200794332,COST ,,2020.0,1930669973.0,2020-03-20,2020-03-19,2020-03-20,2020-04-04,USD,RV,1.0,,8448.89,2020-03-20,NAAX,1930669973.0,1
66,377,2,9,1117.8,15506.0,3,5,2020,2,0,2020-05-19,0 days,U001,0200748108,KROGER co,,2020.0,1930854845.0,2020-05-04,2020-05-03,2020-05-04,2020-05-19,USD,RV,1.0,,1117.8,2020-05-04,NAA8,1930854845.0,1
67,381,0,9,50763.98814344261,2968.0,5,4,2020,2,3,2020-04-27,1-15days,CA02,0140104249,SOB trust,,2020.0,2960626273.0,2020-04-05,2020-04-05,2020-04-05,2020-04-24,CAD,RV,1.0,,62779.59,2020-04-14,CA10,2960626273.0,1
68,387,2,156,4678.62,10524.0,31,3,2020,1,3,2020-04-18,1-15days,U001,0200759878,SA trust,,2020.0,1930723748.0,2020-03-31,2020-03-31,2020-03-31,2020-04-15,USD,RV,1.0,,4678.62,2020-03-31,NAH4,1930723748.0,1
69,399,2,1,36049.79,10524.0,20,4,2020,2,0,2020-05-05,0 days,U001,0200769623,WAL-MAR llc,,2020.0,1930802185.0,2020-04-20,2020-04-20,2020-04-20,2020-05-05,USD,RV,1.0,,36049.79,2020-04-20,NAH4,1930802185.0,1
70,405,0,1,160627.1940286885,2968.0,14,4,2020,2,5,2020-05-07,1-15days,CA02,140106408,WAL-M corp,,2020.0,2960627669.0,2020-04-14,2020-04-14,2020-04-14,2020-05-02,CAD,RV,1.0,,198646.91,2020-04-22,CA10,2960627669.0,1
71,410,2,1,728.78,590.0,4,4,2020,2,-19,2020-05-21,0 days,U001,0100031704,DELHAIZE us,,2020.0,1930747630.0,2020-04-05,2020-04-04,2020-04-05,2020-06-09,USD,RV,1.0,,728.78,2020-04-05,NAGD,1930747630.0,1
72,412,2,1,3506.85,950.0,5,4,2020,2,2,2020-04-24,1-15days,U001,0200794332,COST systems,,2020.0,1930751070.0,2020-04-07,2020-04-05,2020-04-07,2020-04-22,USD,RV,1.0,,3506.85,2020-04-07,NAAX,1930751070.0,1
73,415,2,5,162.65,15506.0,31,3,2020,1,-1,2020-04-14,0 days,U001,0200726979,BJ'S  co,,2020.0,1930724352.0,2020-03-31,2020-03-31,2020-03-31,2020-04-15,USD,RV,1.0,,162.65,2020-03-31,NAA8,1930724352.0,1
74,420,0,1,80538.79798360655,2968.0,16,4,2020,2,5,2020-05-02,1-15days,CA02,0140104225,SAVE-ON- systems,,2020.0,2960628581.0,2020-04-16,2020-04-16,2020-04-16,2020-04-27,CAD,RV,1.0,,99601.96,2020-04-17,CA10,2960628581.0,1
75,426,2,1,1229.86,348.0,24,4,2020,2,3,2020-05-07,1-15days,U001,0200557600,GREEN  in,,2020.0,1930823267.0,2020-04-24,2020-04-24,2020-04-24,2020-05-04,USD,RV,1.0,,1229.86,2020-04-24,NA10,1930823267.0,1
76,432,2,4,118778.29,1354.0,24,3,2020,1,0,2020-04-08,0 days,U001,0200762301,C&S WH in,,2020.0,1930691095.0,2020-03-24,2020-03-24,2020-03-24,2020-04-08,USD,RV,1.0,,118778.29,2020-03-24,NAC6,1930691095.0,1
77,439,0,1,2549.002795081967,2968.0,11,3,2020,1,6,2020-03-29,1-15days,CA02,0140104429,COSTCO us,,2020.0,2960619963.0,2020-03-11,2020-03-11,2020-03-11,2020-03-23,CAD,RV,1.0,,3152.34,2020-03-13,CA10,2960619963.0,1
78,445,2,2,309.0,1033.0,5,5,2020,2,-6,2020-05-18,0 days,U001,0200230690,DECA us,,2020.0,1930858014.0,2020-05-05,2020-05-05,2020-05-05,2020-05-24,USD,RV,1.0,,309.0,2020-05-01,NAM4,1930858014.0,1
79,450,2,1,1025.29,15506.0,4,5,2020,2,-2,2020-05-20,0 days,U001,0200418007,AM trust,,2020.0,1930839620.0,2020-05-07,2020-05-04,2020-05-07,2020-05-22,USD,RV,1.0,,1025.29,2020-05-07,NAA8,1930839620.0,1
80,463,2,1,11804.32,462.0,23,4,2020,2,12,2020-05-08,1-15days,U001,0200020431,DEC in,,2020.0,1930817550.0,2020-04-23,2020-04-23,2020-04-23,2020-04-26,USD,RV,1.0,,11804.32,2020-04-16,NAM2,1930817550.0,1
81,468,2,8,180613.72,15506.0,27,2,2020,1,3,2020-03-17,1-15days,U001,0200689451,PORK corp,,2020.0,1930577519.0,2020-02-28,2020-02-27,2020-02-28,2020-03-14,USD,RV,1.0,,180613.72,2020-02-28,NAA8,1930577519.0,1
82,470,2,1,81112.19,15506.0,15,4,2020,2,-1,2020-04-30,0 days,U001,0200704858,WAKE co,,2020.0,1930789228.0,2020-04-16,2020-04-15,2020-04-16,2020-05-01,USD,RV,1.0,,81112.19,2020-04-16,NAA8,1930789228.0,1
83,472,2,37,25185.31,15506.0,21,4,2020,2,0,2020-05-07,0 days,U001,0200771157,WEIS corporation,,2020.0,1930809996.0,2020-04-22,2020-04-21,2020-04-22,2020-05-07,USD,RV,1.0,,25185.31,2020-04-22,NAA8,1930809996.0,1
84,483,2,3,52158.05,15506.0,28,2,2020,1,0,2020-03-14,0 days,U001,0200700919,US  us,,2020.0,1930581301.0,2020-02-28,2020-02-28,2020-02-28,2020-03-14,USD,RV,1.0,,52158.05,2020-02-28,NAA8,1930581301.0,1
85,484,2,4,20799.59,1354.0,3,3,2020,1,0,2020-03-19,0 days,U001,0200762301,C&S WH trust,,2020.0,1930592665.0,2020-03-04,2020-03-03,2020-03-04,2020-03-19,USD,RV,1.0,,20799.59,2020-03-04,NAC6,1930592665.0,1
86,486,2,4,3649.97,1354.0,29,2,2020,1,0,2020-03-17,0 days,U001,0200762301,C&S WH corp,,2020.0,1930583704.0,2020-03-02,2020-02-29,2020-03-02,2020-03-17,USD,RV,1.0,,3649.97,2020-03-02,NAC6,1930583704.0,1
87,494,2,1,72213.4,10524.0,11,4,2020,2,0,2020-04-27,0 days,U001,0200769623,WAL-MAR trust,,2020.0,1930777762.0,2020-04-12,2020-04-11,2020-04-12,2020-04-27,USD,RV,1.0,,72213.4,2020-04-12,NAH4,1930777762.0,1
88,495,2,1,36407.41,259.0,9,3,2020,1,-2,2020-04-07,0 days,U001,0200455322,PEA systems,,2020.0,1930624550.0,2020-03-10,2020-03-09,2020-03-10,2020-04-09,USD,RV,1.0,,36407.41,2020-03-10,NAD5,1930624550.0,1
89,498,0,1,54930.2606557377,2968.0,5,4,2020,2,6,2020-04-30,1-15days,CA02,0140104409,LOB co,,2020.0,2960626916.0,2020-04-05,2020-04-05,2020-04-05,2020-04-24,CAD,RV,1.0,,67932.0,2020-04-14,CA10,2960626916.0,1
90,507,2,1,27113.49,10524.0,6,4,2020,2,1,2020-04-22,1-15days,U001,0200769623,WAL-MAR in,,2020.0,1930757205.0,2020-04-06,2020-04-06,2020-04-06,2020-04-21,USD,RV,1.0,,27113.49,2020-04-06,NAH4,1930757205.0,1
91,508,2,1,15244.28,462.0,22,4,2020,2,12,2020-05-08,1-15days,U001,0200416837,DEC systems,,2020.0,1930811496.0,2020-04-22,2020-04-22,2020-04-22,2020-04-26,USD,RV,1.0,,15244.28,2020-04-16,NAM2,1930811496.0,1
92,517,4,1,16859.46,227.0,17,3,2020,1,32,2020-06-02,31-45days,U013,CC6530,HEINZ foundation,,2020.0,1991841229.0,2020-03-17,2020-03-17,2020-03-17,2020-05-01,USD,RV,1.0,,16859.46,2020-03-17,NAVF,1991841229.0,1
93,531,2,1,6663.09,10524.0,3,4,2020,2,0,2020-04-19,0 days,U001,0200769623,WAL-MAR systems,,2020.0,1930737888.0,2020-04-04,2020-04-03,2020-04-04,2020-04-19,USD,RV,1.0,,6663.09,2020-04-04,NAH4,1930737888.0,1
94,532,2,5,293.02,15506.0,2,3,2020,1,2,2020-03-19,1-15days,U001,0200726979,BJ'S  co,,2020.0,1930592838.0,2020-03-02,2020-03-02,2020-03-02,2020-03-17,USD,RV,1.0,,293.02,2020-03-02,NAA8,1930592838.0,1
95,535,2,12,18071.04,15506.0,14,3,2020,1,0,2020-04-01,0 days,U001,0200744019,TARG corporation,,2020.0,1930652415.0,2020-03-17,2020-03-14,2020-03-17,2020-04-01,USD,RV,1.0,,18071.04,2020-03-17,NAA8,1930652415.0,1
96,538,2,12,7664.54,15506.0,15,3,2020,1,0,2020-03-31,0 days,U001,0200744019,TARG llc,,2020.0,1930654111.0,2020-03-16,2020-03-15,2020-03-16,2020-03-31,USD,RV,1.0,,7664.54,2020-03-16,NAA8,1930654111.0,1
97,540,2,44,135871.84,15506.0,20,3,2020,1,2,2020-04-05,1-15days,U001,200776463,KROGE ,,2020.0,1930674270.0,2020-03-19,2020-03-20,2020-03-19,2020-04-03,USD,RV,1.0,,135871.84,2020-03-19,NAA8,1930674270.0,1
98,542,2,6,1667.78,712.0,1,4,2020,2,5,2020-04-20,1-15days,U001,0200772670,ASSOCIAT co,,2020.0,1930726869.0,2020-03-31,2020-04-01,2020-03-31,2020-04-15,USD,RV,1.0,,1667.78,2020-03-31,NAU5,1930726869.0,1
99,545,2,8,8019.84,744.0,12,3,2020,1,8,2020-04-25,1-15days,U001,CCCA02,KRAFT  associates,,2020.0,1930646130.0,2020-03-13,2020-03-12,2020-03-13,2020-04-17,USD,RV,1.0,,8019.84,2020-03-13,NAG2,1930646130.0,1
100,546,2,1,18.49,10524.0,27,3,2020,1,26,2020-05-07,16-30days,U001,0200769623,WAL-MAR trust,,2020.0,1930708397.0,2020-03-27,2020-03-27,2020-03-27,2020-04-11,USD,RV,1.0,,18.49,2020-03-27,NAH4,1930708397.0,1
